clusterNumber;delta_1;epsilon_1;zeta_1;alpha_2;beta_2;gamma_2;delta_2;chi_1;chi_2;NN;CC;mu;nu0_1;nu1_1;nu2_1;nu3_1;nu4_1;nu0_2;nu1_2;nu2_2;nu3_2;nu4_2;
41;5.479670053987;11.621645388102;12.142263468998;11.746857331609;11.769922689623;10.689145914092;6.254007073042;13.351547239181;12.63322608959;0.323903527545;0.363114636169;9.529287911083;16.158930814645;17.720785057333;13.084648096443;5.677373122682;10.082856503429;7.848811827179;6.283662533346;4.606481500586;5.324802650177;7.123900575298;
410;11.53267900719;13.223040244529;9.450206683606;14.366422991813;14.432324014712;14.468569577306;14.046803030757;14.376308145248;13.974311905569;0.420778031205;0.43362873067;9.815957360691;11.110912460641;12.916600488052;13.400973006354;11.941265349159;10.010365378241;13.638216688788;9.025145085912;8.115710969917;12.026936678926;13.812854399468;
50;14.514700293334;11.957740604883;9.163537233998;12.537669606387;9.061390648506;10.824243011034;6.603282494402;11.954445553738;9.532582962228;0.275466275715;0.246799330754;6.168335743274;12.580505271271;7.509421559253;9.85549797443;14.531175549059;15.513100790242;8.329889294336;8.405675470669;8.422150726393;8.405675470669;8.320004140901;
54;9.558943371388;14.811254896376;16.640008281802;14.923286635303;15.908506927632;9.812662309546;8.247513015713;14.616846878827;16.17540607037;0.394417622046;0.393099601588;9.624844394286;10.728686527831;6.978918324922;5.229246166974;8.504527005016;11.394286859103;10.5869993286;8.247513015713;5.74986424787;7.166736240182;9.911513843893;
552;7.42045517834;14.412553707842;11.766627638478;15.710803858937;9.964234662212;15.674558296343;5.822355373058;14.936466839883;12.020346576636;0.3888160351;0.393099601588;13.878755422366;9.4864522462;7.100835217284;5.403883877655;6.969033171487;9.387600711852;6.534086420359;6.448415090591;5.987107930304;5.716913736421;6.069484208927;
55412029;5.262196678423;15.664673142908;14.662977594855;16.152340712355;16.14904566121;11.69413651329;6.224351612737;14.620141929971;15.588886966575;0.497552722882;0.523913132041;15.944752490226;5.285262036438;3.792603867793;3.377427423534;4.603186449441;5.657602815813;4.573530989137;3.660801821996;4.237435772356;5.222656064684;5.426949235669;
5542;6.768035051648;14.65968254371;11.822643507942;14.943056942173;7.07117975698;11.598580030088;6.036533697478;14.817844998666;7.921302952367;0.382884943039;0.270194193883;16.004063410834;6.817460818821;7.110720370719;6.774625153938;6.412169527997;6.375923965403;3.977126731908;3.930996015879;4.995297535686;5.489555207422;4.968937126526;
5548;6.234236766172;15.77340983069;15.157235266592;14.67945285058;15.42413440933;11.397581910248;5.37422841735;14.636617185696;12.099427804114;0.426709123266;0.34993443159;14.778304384927;6.471480448606;6.310022942505;5.651012713523;5.232541218119;5.786109810464;8.217857555409;7.98390892412;6.395694272273;5.354458110481;6.603282494402;
5549;4.718513239513;14.65968254371;14.946351993318;16.551041900889;14.814549947521;14.577306265088;7.074474808125;13.424038364369;14.900221277289;0.382884943039;0.310393817851;12.448703225475;7.875172236338;6.1189099761;4.046322805951;4.781119211266;7.153556035602;8.37272495922;5.153459990641;3.440033395287;6.356153658534;9.011964881332;
556;5.298442241017;14.807959845231;13.938066342975;14.616846878827;12.788093493401;12.475063634634;4.764643955542;14.712403362029;7.512716610398;0.387498014642;0.44680893525;16.926677731409;7.779615753136;7.143670882168;5.881666293667;5.766339503595;7.04481934782;8.682459766841;8.497936902726;5.970632674579;3.693752333446;6.122205027245;
